OBJECTID,Platted_Name,Subdivision,Phase,Section,Case_Number,Recorded_Date,Document1,Document2,Legal_Acres,Recorded_County1,Recorded_County2,Book,Page,Res_Lots,Comm_Lots,Total_Lots,Development_Status,MF_Category,MF_Complex_Name,Accepted_Subd,Addressing_Status,Address_Release_Date,City_Jurisdiction,County_Jurisdiction,Geometry_Source,Subdivision_Category,Platted_Name_UC,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ResLotsApprox
18,Leander Heights Sec 3 Lot 14 And 15 Blk A (Resub),LEANDER HEIGHTS,,"3",,9/13/1995,9540652,,10.26,Williamson,,M,"145",0,4,4,DEV,N/A,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 3 LOT 14 AND 15 BLK A (RESUB),{C7F20B23-0AC8-4DBF-926B-318FC6FF73F0},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
21,Crystal Springs Ph 2 Sec 1,CRYSTAL SPRINGS,"1","2",,6/9/2019,2019083349,,7.312,Williamson,,,,69,0,73,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,CRYSTAL SPRINGS PH 2 SEC 1,{86D51977-AC69-4074-9BD7-41A99A8D0F36},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
23,Highlands At Crystal Falls Sec 2 Ph 3B,HIGHLANDS AT CRYSTAL FALLS,3B,"2",,9/28/2011,2011065392,,9.178,Williamson,,,,27,0,31,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGHLANDS AT CRYSTAL FALLS SEC 2 PH 3B,{1E61F9A4-389D-4AAC-9349-F4621B7858DB},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
26,Mason Creek North Sec 1 Replat,MASON CREEK NORTH,,"1",,8/25/1985,8532763,,53.707,Williamson,,G,"211",409,0,409,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK NORTH SEC 1 REPLAT,{DD57315B-A803-497C-AC69-C3F60163562F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
27,Lion Acres,LION ACRES,,,,5/15/1984,8415581,,4.04,Williamson,,F,"9",10,0,10,DEV,"2",Lion Acres,Yes,REL,,City,W,WCAD,SF,LION ACRES,{4D28D193-291D-4FB3-9B29-65ED7284DD53},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
29,Ridgmar Landing (Blk 2 Lot 20 Resub),RIDGMAR LANDING,,,,8/7/1984,8427052,,5.023,Williamson,,F,"117",3,0,3,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGMAR LANDING (BLK 2 LOT 20 RESUB),{FDEC3423-2753-459B-AE77-B27ACA80F448},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
30,North Creek Sec 1,NORTH CREEK,,"1",,6/10/1985,8521765,,33.56,Williamson,,G,"87",146,0,146,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 1,{ED1D743E-F804-426F-A546-8F852ECDBB33},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
31,Mason Creek Sec 3A,MASON CREEK,,3A,,1/21/1997,9754045,,13.77,Williamson,,P,"97",59,0,59,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 3A,{458A01D3-35EF-4456-B0A2-0CF50E688100},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
32,Westview Meadows Ph 1,WESTVIEW MEADOWS,"1",,,7/19/2002,2002054671,,39.902,Williamson,,W,"157",124,0,124,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTVIEW MEADOWS PH 1,{C186F684-D278-41F4-AF02-A03F217A971D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
36,Oak Ridge Sec 1,OAK RIDGE,,"1",,1/21/1986,8602683,,54.78,Williamson,,H,"17",220,0,220,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OAK RIDGE SEC 1,{BE0EBC08-B134-474F-914C-1ED7104F405A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
37,Villas At Vista Ridge,VILLAS AT VISTA RIDGE,,,,4/8/2014,2014024443,,18.726,Williamson,,,,88,0,95,DEV,N/A,N/A,Yes,REL,2014/04/08 00:00:00+00,City,W,WCAD,SF,VILLAS AT VISTA RIDGE,{5026C8C4-CC52-4C13-8245-5B4E9CD14B7E},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
38,Mason Creek Sec 4C,MASON CREEK,,4C,,2/14/1998,9913147,,16.811,Williamson,,Q,"345",69,0,69,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 4C,{56CAF81E-7481-49B2-AE06-F97A24CC98C3},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
42,Highlands At Crystal Falls Sec 2 Ph 1,HIGHLANDS AT CRYSTAL FALLS,"1","2",,11/28/2006,2006103109,,22.531,Williamson,,CC,"276",75,0,78,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGHLANDS AT CRYSTAL FALLS SEC 2 PH 1,{B363D52D-A92E-47FD-99A6-095D1DFBF389},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
43,Ridge Oaks,RIDGE OAKS,,,,4/23/1979,0,,10.09,Williamson,,D,"223",28,0,28,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGE OAKS,{A7FAB3F8-FCCA-4089-9594-2AA54A488BC8},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
44,North Creek Sec 2,NORTH CREEK,,"2",,6/2/1986,8621290,,33.76,Williamson,,H,"206",145,0,145,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 2,{C692704F-F277-4E48-B74F-774DD0CA1F99},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
45,Mason Creek Sec 4B,MASON CREEK,,4B,,4/2/1998,9818919,,14.822,Williamson,,P,"286",59,0,59,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 4B,{4CA8D767-B796-435D-B3DE-A0A7954FBF37},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
46,High Chaparral,HIGH CHAPARRAL,,,,3/4/1969,0,,100,Williamson,,B,"77",167,0,167,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGH CHAPARRAL,{B18C4E28-7D78-47B0-9743-3893466A73ED},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
47,Woods At Mason Creek 2 Sec 4,WOODS AT MASON CREEK,"2","4",,5/4/2004,2004034833,,35.55,Williamson,,Y,"335",74,2,82,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WOODS AT MASON CREEK 2 SEC 4,{4305AE72-3463-41DD-A883-65122B4A8CE8},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
48,Oak Ridge Sec 2,OAK RIDGE,,"2",,9/26/1986,8639757,,60.47,Williamson,,H,"344",240,0,240,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OAK RIDGE SEC 2,{E3F1F8D5-5881-47A5-98D0-136328645D17},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
49,Lakeline Ranch Ph 6,LAKELINE RANCH,"6","6",,6/8/2006,2006047683,,6.282,Williamson,,BB,"386",29,0,29,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LAKELINE RANCH PH 6,{8E34AFAE-F33F-4360-B180-E1626B3158E3},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
50,Mason Creek North Sec 1 Replat Lots 27-36D 8-33E 40F,MASON CREEK NORTH,,"1",,2/3/1986,8604239,,3.662,Williamson,,H,"26",36,0,36,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK NORTH SEC 1 REPLAT LOTS 27-36D 8-33E 40F,{1F131637-2800-49F9-817E-6A39C4C0ED5A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
51,North Creek Sec 3F,NORTH CREEK,,3F,,2/6/2001,2001008519,,17.842,Williamson,,T,"388",68,0,69,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3F,{7773B7B4-5771-4739-BC3D-5FC92FA90CBA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
52,Mason Creek Sec 2C,MASON CREEK,,2C,,9/7/2000,2001026366,,8.45,Williamson,,U,"169",29,0,29,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 2C,{3E541765-711D-4F60-B386-1A0B8ACF4CAA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
53,Woods At Mason Creek Sec 1,WOODS AT MASON CREEK,,"1",,2/16/2002,2002020349,,5.869,Williamson,,V,"308",18,0,18,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WOODS AT MASON CREEK SEC 1,{0D4AB2E5-60D2-4FA2-B730-C83B85465931},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
56,Leander Heights Sec 3 Lots 5 And 6 Blk A (Replat),LEANDER HEIGHTS,,"3",,4/10/2009,2008027535,,5.58,Williamson,,EE,"247",2,0,2,DEV,,,Yes,REL,,City,W,WCAD,COM,LEANDER HEIGHTS SEC 3 LOTS 5 AND 6 BLK A (REPLAT),{2909AF4B-997C-4D22-B8F1-E442E3F95C93},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
57,Westview Meadows Ph 3,WESTVIEW MEADOWS,"3",,,10/26/2005,2005085716,,8.839,Williamson,,AA,"383",41,0,41,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTVIEW MEADOWS PH 3,{755161D7-142D-4E42-A956-4F31DCAD0EE4},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
58,Leander Heights Sec 2,LEANDER HEIGHTS,,"2",21-SD-027,10/18/1969,0,,109.66,Williamson,,B,"105",51,0,51,DEV,TH,,Yes,REL,,City,W,WCAD,MIX,LEANDER HEIGHTS SEC 2,{AFF80B5D-D00A-4412-8C8B-74A2376E917A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
60,North Creek Sec 3B,NORTH CREEK,,3B,,9/17/1999,199963390,,11.973,Williamson,,R,"261",54,0,54,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3B,{BCCF1417-A090-4D4A-8BE0-8CEFBCC91827},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
61,Stewart Crossing Ph 1,STEWART CROSSING,"1",,,3/31/2016,2016026419,,19.365,Williamson,,,,111,0,116,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,STEWART CROSSING PH 1,{779F3C93-7E06-4EE6-B1EB-0E46E5189A92},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
62,Leander Heights Sec 2 Lot 9 Blk B (Resub),LEANDER HEIGHTS,,"2",,8/16/2001,2001060248,,2.04,Williamson,,V,"13",2,0,2,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LEANDER HEIGHTS SEC 2 LOT 9 BLK B (RESUB),{4F6C06F5-50AF-4CD6-8D97-531AEFEAD705},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
64,Horizon Park Sec 4,HORIZON PARK,,"4",,3/9/2001,2001016705,,22.67,Williamson,,U,"56",96,0,98,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HORIZON PARK SEC 4,{A141FF52-7BBA-42E9-BD14-5E8E9848686F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
65,Crystal Springs Ph 3 Sec 2,CRYSTAL SPRINGS,"2","3",,8/13/2020,2020093386,,6.064,Williamson,,,,36,0,40,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,CRYSTAL SPRINGS PH 3 SEC 2,{305479C2-C77E-4BBD-879B-D31750E354A7},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
66,Hawkes Landing Ph 3,HAWKES LANDING,"3","3",,3/14/2019,2019020453,,29.915,Williamson,,,,104,0,105,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HAWKES LANDING PH 3,{D1778B8F-2EE9-44C0-9CD1-96D9B0576F6D},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
67,Horizon Park Sec 2,HORIZON PARK,,"2",,7/15/1999,2000005120,,83.184,Williamson,,S,"78",205,0,219,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HORIZON PARK SEC 2,{641E8FE0-EA30-4340-A681-DB36FF000DFA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
68,Marbella Ph 1,MARBELLA,"1","1",,1/4/2018,2018012839,,26.2788,Williamson,,,,65,0,76,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MARBELLA PH 1,{AF791159-189E-473D-B8BD-9E90230ACADC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
69,Ridgewood South Ph 1,RIDGEWOOD SOUTH,"1",,,7/12/2001,2002009937,,42.657,Williamson,,V,"262",129,0,134,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,RIDGEWOOD SOUTH PH 1,{3C045C00-28B6-4068-BE81-B199FB4192CC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
70,Vista Ridge Amenity Center,VISTA RIDGE,,,,8/26/2004,2004071331,,2.776,Williamson,,Z,"93",6,0,7,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,VISTA RIDGE AMENITY CENTER,{52ACFD13-12F6-4706-A68C-1EAA56578941},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
71,Crystal Springs Ph 3 Sec 1,CRYSTAL SPRINGS,"1","3",,8/13/2020,2020093266,,4.303,Williamson,,,,35,0,38,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,CRYSTAL SPRINGS PH 3 SEC 1,{0F2BEB36-265C-4186-947A-92B5CD707BA4},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
72,Mason Creek Sec 4A,MASON CREEK,,4A,,8/6/1997,9737827,,18.367,Williamson,,O,"358",59,0,59,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 4A,{8F78F562-7862-4D18-8FDC-3A47E5EA3B6A},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
75,Woods At Mason Creek Sec 1 Lots 9 10 12-15 Block G Amd,WOODS AT MASON CREEK,,"1",,1/30/2004,2004012659,,1.214,Williamson,,Y,"226",6,0,6,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WOODS AT MASON CREEK SEC 1 LOTS 9 10 12-15 BLOCK G AMD,{3372A82B-D110-4EC7-95AF-82F892AD373F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
78,North Creek Sec 3E,NORTH CREEK,,3E,,8/4/2000,2000054204,,17.873,Williamson,,T,"1",61,0,61,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,NORTH CREEK SEC 3E,{6199B9D4-FC32-4394-9AF0-85FA4FDE10F4},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
80,Greener Acres,GREENER ACRES,,,,12/21/2004,2004097623,,6.293,Williamson,,,,0,2,2,NONE,,,,,,City,W,WCAD,COM,GREENER ACRES,{7EE45723-603F-4AAD-AFB5-3979005C7136},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
82,Horizon Park Sec 3,HORIZON PARK,,"3",,3/9/2004,2001016708,,15.238,Williamson,,U,"59",59,0,59,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HORIZON PARK SEC 3,{17786F4C-6441-4E30-905C-C6A4986B8CB9},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
83,Westwood Sec 1,WESTWOOD,,"1",,10/18/1999,2000047577,,15.239,Williamson,,S,"360",63,0,63,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTWOOD SEC 1,{528B186F-AF76-4CB7-8C60-D045A25D96EA},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
84,Lakeline Ranch Ph 3A,LAKELINE RANCH,3A,"3",,12/7/2004,2004095987,,10.086,Williamson,,Z,"279",36,0,36,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,LAKELINE RANCH PH 3A,{84CB4D1F-3F7C-4006-9241-8A50C3860789},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
86,Horizon Park Sec 2 Commercial,HORIZON PARK,,"2",,12/18/2006,2007002828,,3.472,Williamson,,CC,"342",0,2,2,DEV,,,Yes,REL,,City,W,WCAD,COM,HORIZON PARK SEC 2 COMMERCIAL,{4F56360B-5AE5-4E75-A459-838430582F89},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
87,Vista Ridge Ph 3,VISTA RIDGE,"3",,,3/9/2005,2005017498,,26.992,Williamson,,AA,"48",119,0,119,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,VISTA RIDGE PH 3,{8A937AFA-C900-4477-A11B-3A47245165DE},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
88,Highlands At Crystal Falls Sec 2 Ph 2,HIGHLANDS AT CRYSTAL FALLS,"2","2",,2/28/2008,2008015203,,23.338,Williamson,,EE,"183",95,0,98,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,HIGHLANDS AT CRYSTAL FALLS SEC 2 PH 2,{04D14035-B7F1-44EE-AD1D-2FB7F5096BFC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
90,Highway Village,HIGHWAY VILLAGE,,,,10/6/1964,0,,13.72,Williamson,,B,"10",34,0,34,DEV,,,Yes,REL,,City,W,WCAD,MIX,HIGHWAY VILLAGE,{3D405169-29F7-4A33-821B-6C78B90CBEDB},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
91,Stewart Crossing Ph 2,STEWART CROSSING,"2",,,11/28/2017,2017109069,,24.27,Williamson,,,,113,0,120,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,STEWART CROSSING PH 2,{6BE234F1-45BC-466A-937E-FBA55732FF5F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
93,Oak Ridge Sec 4,OAK RIDGE,,"4",,7/3/1990,90200828,,8.353,Williamson,,J,"324",3,0,3,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,OAK RIDGE SEC 4,{7D4D16CC-35CB-4EB8-94DC-8D9CAF5F49CC},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
97,Merritt Legacy Apartments,MERRITT LEGACY APARTMENTS,,,,,,,,Williamson,,,,0,0,2,DEV,APT,Merritt Legacy Apartments,Yes,REL,,City,W,WCAD,MULTI,MERRITT LEGACY APARTMENTS,{F593C71A-7B6A-45D5-B93A-A4594B36F05F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
99,Village At Leander Station Ph 1 And 3,VILLAGE AT LEANDER STATION,"1",,,8/3/2017,2017071690,,12.86,Williamson,,,,77,0,86,DEV,N/A,N/A,Yes,REL,2017/08/10 00:00:00+00,City,W,WCAD,SF,VILLAGE AT LEANDER STATION PH 1 AND 3,{9EB0FB4D-A151-4BB8-BC96-F087993E7B4F},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
101,Westwood Sec 3,WESTWOOD,,"3",,3/13/2002,2002020080,,28.88,Williamson,,V,"304",127,0,127,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,WESTWOOD SEC 3,{03B05A59-5C04-4484-9CAE-EC6369634282},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
103,Mason Creek Sec 5A,MASON CREEK,,5A,,2/26/1997,9708130,,2.45,Williamson,,O,"112",8,0,8,DEV,N/A,N/A,Yes,REL,,City,W,WCAD,SF,MASON CREEK SEC 5A,{5AFB2F94-52AD-46EC-92AE-63D5EB2E16EB},LeanderTX_GIS,2023/12/21 21:47:11.865+00,LeanderTX_GIS,2023/12/21 21:47:11.865+00,
